obsID,timelbl2,timelbl3,place
590,Day,Day,Mudflats
592,Day,Day,Mudflats
593,Day,Day,Mudflats
596,Day,Day,Mudflats
598,Day,Day,Mudflats
600,Day,Day,Mudflats
603,Day,Day,Mudflats
604,Day,Day,Mudflats
605,Day,Day,Mudflats
606,Day,Day,Mudflats
607,Day,Day,Mudflats
608,Day,Day,Mudflats
609,Day,Day,Mudflats
611,Day,Day,Mudflats
612,Day,Day,Mudflats
613,Day,Day,Mudflats
615,Day,Day,Mudflats
616,Day,Day,Mudflats
617,Day,Day,Mudflats
618,Day,Day,Mudflats
620,Day,Day,Mudflats
621,Day,Day,Mudflats
624,Day,Day,Mudflats
626,Day,Day,Mudflats
628,Day,Day,Mudflats
629,Day,Day,Mudflats
630,Day,Day,Mudflats
631,Day,Day,Mudflats
632,Day,Day,Mudflats
633,Day,Day,Mudflats
634,Day,Day,Mudflats
637,Day,Day,Mudflats
639,Day,Day,Mudflats
644,Day,Day,Mudflats
646,Day,Day,Mudflats
647,Day,Day,Mudflats
648,Day,Day,Mudflats
650,Day,Day,Mudflats
653,Day,Day,Mudflats_Territory
654,Day,Day,Mudflats
656,Day,Day,Mudflats_Territory
659,Day,Day,Mudflats_Territory
659,Day,Day,Mudflats_Territory
660,Day,Day,Mudflats_Territory
662,Day,Day,Mudflats_Territory
663,Day,Day,Mudflats_Territory
664,Day,Day,Mudflats_Territory
665,Day,Day,Mudflats_Territory
666,Day,Day,Mudflats_Territory
667,Day,Day,Mudflats_Territory
668,Day,Day,Mudflats_Territory
669,Day,Day,Mudflats_Territory
670,Day,Day,Mudflats_Territory
671,Day,Day,Mudflats_Territory
672,Day,Day,Mudflats_Territory
673,Day,Day,Mudflats_Territory
674,Day,Day,Mudflats_Territory
675,Day,Day,Territory
676,Day,Day,Territory
677,Day,Day,Territory
678,Day,Day,Mudflats_Territory
681,Day,Day,Mudflats_Territory
682,Day,Day,Mudflats_Territory
683,Day,Day,Mudflats_Territory
685,Day,Day,Territory
686,Day,Day,Mudflats_Territory
687,Day,Day,Mudflats_Territory
689,Day,Day,Mudflats_Territory
690,Day,Day,Territory
691,Day,Day,Territory
694,Day,Day,Mudflats_Territory
696,Day,Day,Mudflats_Territory
697,Day,Day,Territory
698,Day,Day,Mudflats_Territory
699,Day,Day,Mudflats_Territory
701,Day,Day,Mudflats_Territory
703,Day,Twilight,Mudflats_Territory
705,Day,Twilight,Mudflats_Territory
706,Day,Twilight,Mudflats_Territory
708,Day,Twilight,Mudflats_Territory
708,Day,Twilight,Mudflats_Territory
710,Night,Twilight,Mudflats_Territory
712,Night,Twilight,Mudflats_Territory
713,Night,Twilight,Mudflats_Territory
715,Night,Night,Mudflats_Territory
717,Night,Night,Mudflats_Territory
718,Night,Night,Mudflats_Territory
721,Night,Night,Mudflats_Territory
722,Night,Night,Mudflats_Territory
724,Night,Night,Mudflats_Territory
725,Night,Night,Mudflats_Territory
726,Night,Night,Mudflats_Territory
727,Night,Night,Mudflats_Territory
729,Night,Night,Mudflats_Territory
730,Night,Night,Mudflats_Territory
731,Night,Night,Mudflats_Territory
732,Night,Night,Mudflats_Territory
733,Night,Night,Mudflats_Territory
734,Night,Night,Mudflats_Territory
735,Night,Night,Mudflats_Territory
736,Night,Night,Mudflats_Territory
737,Night,Night,Mudflats_Territory
738,Night,Night,Mudflats_Territory
739,Night,Night,Mudflats_Territory
740,Night,Night,Mudflats_Territory
741,Night,Night,Mudflats_Territory
744,Night,Twilight,Mudflats_Territory
745,Night,Twilight,Mudflats_Territory
746,Night,Twilight,Mudflats_Territory
747,Night,Twilight,Mudflats_Territory
748,Night,Twilight,Mudflats_Territory
749,Day,Twilight,Mudflats_Territory
752,Day,Twilight,Mudflats_Territory
754,Day,Day,Mudflats_Territory
755,Day,Day,Mudflats_Territory
757,Day,Day,Mudflats_Territory
758,Day,Day,Mudflats_Territory
759,Day,Day,Mudflats_Territory
760,Day,Day,Mudflats_Territory
761,Day,Day,Mudflats_Territory
762,Day,Day,Mudflats_Territory
763,Day,Day,Mudflats_Territory
764,Day,Day,Mudflats_Territory
766,Day,Day,Mudflats_Territory
767,Day,Day,Mudflats_Territory
768,Day,Day,Mudflats_Territory
770,Day,Day,Mudflats_Territory
771,Day,Day,Mudflats_Territory
772,Day,Day,Mudflats_Territory
773,Day,Day,Mudflats_Territory
776,Day,Day,Mudflats_Territory
778,Day,Day,Mudflats_Territory
782,Day,Day,Mudflats_Territory
783,Day,Day,Mudflats_Territory
784,Day,Day,Mudflats_Territory
785,Day,Day,Mudflats_Territory
786,Day,Day,Mudflats_Territory
787,Day,Day,Mudflats_Territory
788,Day,Day,Mudflats_Territory
789,Day,Day,Mudflats_Territory
793,Day,Day,Mudflats_Territory
794,Day,Day,Mudflats_Territory
795,Day,Day,Mudflats_Territory
796,Day,Day,Mudflats_Territory
797,Day,Day,Mudflats_Territory
798,Day,Day,Mudflats_Territory
799,Day,Day,Mudflats_Territory
803,Day,Day,Mudflats_Territory
805,Day,Day,Mudflats_Territory
806,Day,Day,Mudflats_Territory
807,Day,Day,Mudflats_Territory
810,Day,Day,Mudflats_Territory
811,Day,Day,Mudflats_Territory
812,Day,Day,Mudflats_Territory
814,Day,Day,Mudflats_Territory
815,Day,Day,Mudflats_Territory
816,Day,Day,Mudflats_Territory
818,Day,Day,Mudflats_Territory
819,Day,Day,Mudflats_Territory
820,Day,Day,Mudflats_Territory
821,Day,Day,Mudflats_Territory
822,Day,Day,Mudflats_Territory
823,Day,Day,Mudflats_Territory
824,Day,Day,Mudflats_Territory
825,Day,Day,Mudflats_Territory
827,Day,Day,Mudflats_Territory
829,Day,Day,Mudflats_Territory
831,Day,Day,Mudflats_Territory
832,Day,Day,Mudflats_Territory
834,Day,Day,Mudflats_Territory
835,Day,Day,Mudflats_Territory
836,Day,Day,Mudflats_Territory
837,Day,Day,Mudflats_Territory
839,Day,Day,Mudflats_Territory
841,Day,Day,Mudflats_Territory
842,Day,Day,Mudflats_Territory
843,Day,Day,Mudflats_Territory
846,Day,Day,Mudflats_Territory
847,Day,Day,Mudflats_Territory
848,Day,Day,Mudflats_Territory
850,Day,Day,Mudflats_Territory
852,Day,Day,Mudflats_Territory
853,Day,Day,Mudflats_Territory
854,Day,Day,Mudflats_Territory
856,Day,Day,Mudflats_Territory
857,Day,Day,Mudflats_Territory
859,Day,Day,Mudflats_Territory
860,Day,Day,Mudflats_Territory
861,Day,Day,Mudflats_Territory
863,Day,Day,Mudflats_Territory
864,Day,Day,Mudflats_Territory
865,Day,Day,Mudflats_Territory
866,Day,Day,Mudflats_Territory
867,Day,Day,Mudflats
868,Day,Day,Mudflats_Territory
869,Day,Day,Mudflats_Territory
872,Day,Day,Mudflats_Territory
873,Day,Day,Mudflats_Territory
874,Day,Day,Mudflats_Territory
875,Day,Day,Mudflats_Territory
876,Day,Day,Mudflats_Territory
877,Day,Day,Mudflats_Territory
878,Day,Day,Mudflats_Territory
879,Day,Day,Mudflats_Territory
880,Day,Day,Mudflats_Territory
881,Day,Day,Mudflats_Territory
882,Day,Day,Mudflats_Territory
884,Day,Day,Mudflats_Territory
885,Day,Day,Mudflats_Territory
887,Day,Day,Mudflats_Territory
888,Day,Day,Mudflats_Territory
889,Day,Day,Mudflats_Territory
890,Day,Day,Mudflats_Territory
891,Day,Day,Mudflats_Territory
892,Day,Day,Mudflats_Territory
893,Day,Day,Mudflats_Territory
894,Day,Day,Mudflats_Territory
895,Day,Day,Mudflats_Territory
896,Day,Day,Mudflats_Territory
897,Day,Day,Mudflats_Territory
898,Day,Day,Mudflats_Territory
902,Day,Day,Mudflats_Territory
905,Day,Day,Mudflats_Territory
906,Day,Day,Mudflats_Territory
907,Day,Day,Mudflats_Territory
909,Day,Day,Mudflats_Territory
910,Day,Day,Mudflats_Territory
911,Day,Day,Mudflats_Territory
914,Day,Day,Mudflats_Territory
915,Day,Day,Mudflats_Territory
916,Day,Day,Mudflats_Territory
917,Day,Day,Mudflats_Territory
919,Day,Day,Mudflats_Territory
922,Day,Day,Mudflats_Territory
923,Day,Day,Mudflats_Territory
925,Day,Day,Mudflats_Territory
927,Day,Day,Mudflats_Territory
928,Day,Day,Mudflats_Territory
929,Day,Day,Mudflats_Territory
931,Day,Day,Mudflats_Territory
932,Day,Day,Mudflats_Territory
933,Day,Day,Mudflats_Territory
935,Day,Day,Mudflats_Territory
936,Day,Day,Mudflats_Territory
941,Day,Day,Mudflats_Territory
942,Day,Day,Mudflats_Territory
943,Day,Day,Mudflats_Territory
944,Day,Day,Mudflats_Territory
945,Day,Day,Mudflats_Territory
946,Day,Day,Mudflats_Territory
947,Day,Day,Mudflats_Territory
949,Day,Day,Mudflats_Territory
950,Day,Day,Mudflats_Territory
951,Day,Day,Mudflats_Territory
952,Day,Day,Mudflats_Territory
953,Day,Day,Mudflats_Territory
954,Day,Day,Mudflats_Territory
956,Day,Day,Mudflats_Territory
957,Day,Day,Mudflats_Territory
958,Day,Day,Mudflats_Territory
960,Day,Day,Mudflats_Territory
963,Day,Day,Mudflats_Territory
964,Day,Day,Mudflats_Territory
965,Day,Day,Mudflats_Territory
966,Day,Day,Mudflats_Territory
968,Day,Day,Mudflats_Territory
969,Day,Day,Mudflats_Territory
970,Day,Day,Mudflats_Territory
972,Day,Day,Mudflats_Territory
973,Day,Day,Mudflats_Territory
974,Day,Day,Mudflats_Territory
