obsID,birdID,date_time,latitude,longitude,speed
8735,167,11-Jul-09,53.4762158,6.2235958,0.20904545
8736,167,11-Jul-09,53.4761987,6.2235523,0.26925824
8737,167,11-Jul-09,53.4762226,6.2235919,0.16673332
8738,167,11-Jul-09,53.4762495,6.2236075,0.358608422
8739,167,11-Jul-09,53.476313,6.2236495,0.124096736
8740,167,11-Jul-09,53.4763802,6.2236826,0.555247692
8741,167,11-Jul-09,53.4764122,6.2237811,0.16881943
8742,167,11-Jul-09,53.4764494,6.2237741,0.489693782
8743,167,11-Jul-09,53.4764669,6.2237963,0.048989795
8744,167,11-Jul-09,53.476427,6.2238676,0.679190695
8745,167,11-Jul-09,53.4764168,6.2239257,0.233666429
8746,167,11-Jul-09,53.4764101,6.2239794,0.325115364
8747,167,11-Jul-09,53.4763753,6.2240326,0.086023253
8748,167,11-Jul-09,53.4764222,6.2240108,0.154272486
8749,167,11-Jul-09,53.476401,6.2240248,0.375499667
8750,167,11-Jul-09,53.4763867,6.2239994,0.450555213
8751,167,11-Jul-09,53.4764102,6.2239146,0.238746728
8752,167,11-Jul-09,53.4763917,6.2238872,0.207123152
8753,167,11-Jul-09,53.4763546,6.2238938,0.037416574
8754,167,11-Jul-09,53.4763835,6.2238364,0.16583124
8755,167,11-Jul-09,53.476285,6.2239268,0.398998747
8756,167,11-Jul-09,53.4763191,6.2239359,0.278567766
8757,167,11-Jul-09,53.4763079,6.2239471,0.125698051
8758,167,11-Jul-09,53.4761989,6.2240597,0.579827561
8759,167,11-Jul-09,53.4762235,6.2240044,0.235796522
8760,167,11-Jul-09,53.4761965,6.2240571,0.100995049
8761,167,11-Jul-09,53.476193,6.2240826,0.382230297
8762,167,11-Jul-09,53.4761438,6.2241581,0.06164414
8763,167,11-Jul-09,53.4761566,6.2241151,0.03
8764,167,11-Jul-09,53.4761555,6.2240917,0.106770783
8765,167,11-Jul-09,53.4760902,6.2241318,0.566656863
8766,167,11-Jul-09,53.4760561,6.2241824,0.269072481
8767,167,11-Jul-09,53.4760537,6.2241905,0.408044115
8768,167,11-Jul-09,53.4760333,6.2242082,0.320624391
8769,167,11-Jul-09,53.4760355,6.2241907,0.451884941
8770,167,11-Jul-09,53.4759979,6.2242019,0.263818119
8771,167,11-Jul-09,53.4759585,6.22418,0.187082869
8772,167,11-Jul-09,53.475907,6.224219,0.21725561
8773,167,11-Jul-09,53.4758768,6.2242564,0.457165178
8774,167,11-Jul-09,53.4758883,6.2242557,0.110905365
8775,167,11-Jul-09,53.4758632,6.2242474,0.228254244
8776,167,11-Jul-09,53.475853,6.2242226,0.115325626
8777,167,11-Jul-09,53.4758485,6.2242295,0.177200451
8778,167,11-Jul-09,53.4758272,6.2242343,0.295465734
8779,167,11-Jul-09,53.4758194,6.2242302,0.01
8780,167,11-Jul-09,53.4758158,6.2242363,0.240416306
8781,167,11-Jul-09,53.4758161,6.2242347,0.071414284
8782,167,11-Jul-09,53.4757769,6.2242594,0.404722127
8783,167,11-Jul-09,53.4757746,6.2243035,0.154272486
8784,167,11-Jul-09,53.4757986,6.2242726,0.241039416
8785,167,11-Jul-09,53.4758107,6.2242579,0.21977261
8786,167,11-Jul-09,53.4758013,6.2242086,0.531224999
8787,167,11-Jul-09,53.475802,6.2242275,0.417731971
8788,167,11-Jul-09,53.4757937,6.2242592,0.114455231
8789,167,11-Jul-09,53.4758007,6.224238,0.107703296
8790,167,11-Jul-09,53.4758166,6.2242464,0.136014705
8791,167,11-Jul-09,53.4758209,6.2242399,0.237486842
8792,167,11-Jul-09,53.4757931,6.2242513,0.221585198
8793,167,11-Jul-09,53.4758188,6.2242301,0.041231056
8794,167,11-Jul-09,53.475795,6.224251,0.086023253
8795,167,11-Jul-09,53.4757913,6.2242555,0.100498756
8796,167,11-Jul-09,53.4757984,6.2242546,0.182482876
8797,167,11-Jul-09,53.4758113,6.224236,0.177200451
8798,167,11-Jul-09,53.4757906,6.2242604,0.112249722
8799,167,11-Jul-09,53.4758159,6.2242315,0.120415946
8800,167,11-Jul-09,53.4757996,6.2242538,0.087749644
8801,167,11-Jul-09,53.4758128,6.2242326,0.02236068
8802,167,11-Jul-09,53.4757997,6.2242289,0.918313672
8803,167,11-Jul-09,53.4757474,6.2242068,0.422018957
8804,167,11-Jul-09,53.4757089,6.2242186,0.430232495
8805,167,11-Jul-09,53.471207,6.22276,13.14282694
8806,167,11-Jul-09,53.4692984,6.221127,0.091104336
8807,167,11-Jul-09,53.46944,6.220913,0.904986188
8808,167,11-Jul-09,53.4694532,6.2209857,0.152970585
8809,167,11-Jul-09,53.469475,6.2212463,0.163095064
8810,167,11-Jul-09,53.4694622,6.2212864,0.126885775
8811,167,11-Jul-09,53.4694932,6.2210273,0.201246118
8812,167,11-Jul-09,53.4695979,6.2216309,0.233452351
8813,167,11-Jul-09,53.4692836,6.2213229,0.195192213
8814,167,11-Jul-09,53.4692785,6.2215531,0.145945195
8815,167,11-Jul-09,53.4693528,6.2217925,0.16583124
8816,167,11-Jul-09,53.4767876,6.2232054,0
8817,167,11-Jul-09,53.4764542,6.2236877,0.222934968
8818,167,11-Jul-09,53.4763097,6.2228608,0.191311265
8819,167,11-Jul-09,53.4769021,6.2231869,0.226495033
8820,167,11-Jul-09,53.4757261,6.2236415,0.253179778
8821,167,11-Jul-09,53.4760093,6.2232393,0.024494897
8822,167,11-Jul-09,53.476021,6.223247,0.058309519
8823,167,11-Jul-09,53.4760204,6.2232487,0.036055513
8824,167,11-Jul-09,53.4756075,6.22362,0.09797959
8825,167,11-Jul-09,53.475378,6.2234268,0.092736185
8826,167,11-Jul-09,53.4768115,6.2232902,0.401372645
8827,167,11-Jul-09,53.4767432,6.2232071,0.01
8828,167,11-Jul-09,53.4767413,6.2232361,0.014142136
8829,167,11-Jul-09,53.4767517,6.2232425,
8830,167,11-Jul-09,53.4760245,6.2235484,0.533010319
8831,167,11-Jul-09,53.4755312,6.2240182,0.305941171
8832,167,11-Jul-09,53.4757568,6.2237116,0.466261729
8833,167,11-Jul-09,53.4764717,6.2232599,0.06164414
8834,167,11-Jul-09,53.4767126,6.2232694,0.094339811
8835,167,11-Jul-09,53.4766274,6.2232551,0
8836,167,11-Jul-09,53.4766122,6.2232133,0.01
8837,167,11-Jul-09,53.4766704,6.2232818,0.117898261
8838,167,11-Jul-09,53.4766818,6.2232762,0.216564078
8839,167,11-Jul-09,53.4766478,6.2232701,0.258843582
8840,167,11-Jul-09,53.4764096,6.2230281,0.133790882
8841,167,11-Jul-09,53.4764855,6.2231267,0.143527001
8842,167,11-Jul-09,53.4764898,6.2231222,0.154272486
